t,phase,head_z,com_err_x,power_w,bus_v,soc,peak_a
0.002,stand,1.1000,-0.0289,53.0,54.49,1.00000,0.97
0.052,stand,1.0997,-0.0277,84.1,54.42,1.00000,1.91
0.102,stand,1.0995,-0.0249,60.9,54.47,1.00000,1.91
0.152,stand,1.0995,-0.0215,53.9,54.49,0.99999,1.91
0.202,stand,1.0994,-0.0179,55.4,54.48,0.99999,1.91
0.252,stand,1.0992,-0.0145,63.8,54.47,0.99999,1.91
0.302,stand,1.0991,-0.0118,65.1,54.46,0.99999,1.91
0.352,stand,1.0990,-0.0100,62.8,54.47,0.99999,1.91
0.402,stand,1.0989,-0.0090,60.2,54.47,0.99999,1.91
0.452,stand,1.0989,-0.0084,58.1,54.48,0.99999,1.91
0.502,stand,1.0989,-0.0082,56.8,54.48,0.99998,1.91
0.552,stand,1.0989,-0.0081,56.0,54.48,0.99998,1.91
0.602,stand,1.0989,-0.0081,55.7,54.48,0.99998,1.91
0.652,stand,1.0989,-0.0082,55.5,54.48,0.99998,1.91
0.702,stand,1.0989,-0.0082,55.4,54.48,0.99998,1.91
0.752,stand,1.0989,-0.0082,55.4,54.48,0.99998,1.91
0.802,stand,1.0989,-0.0083,55.4,54.48,0.99998,1.91
0.852,stand,1.0989,-0.0083,55.5,54.48,0.99998,1.91
0.902,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
0.952,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.002,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.052,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.102,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.152,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.202,stand,1.0989,-0.0083,55.5,54.48,0.99997,1.91
1.252,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.302,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.352,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.402,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.452,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.502,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.552,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.602,stand,1.0989,-0.0083,55.5,54.48,0.99996,1.91
1.652,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.702,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.752,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.802,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.852,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.902,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
1.952,stand,1.0989,-0.0083,55.5,54.48,0.99995,1.91
2.002,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.052,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.102,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.152,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.202,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.252,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.302,stand,1.0989,-0.0083,55.5,54.48,0.99994,1.91
2.352,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.402,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.452,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.502,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.552,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.602,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.652,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.702,stand,1.0989,-0.0083,55.5,54.48,0.99993,1.91
2.752,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
2.802,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
2.852,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
2.902,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
2.952,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
3.002,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
3.052,stand,1.0989,-0.0083,55.5,54.48,0.99992,1.91
3.102,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.152,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.202,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.252,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.302,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.352,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.402,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.452,stand,1.0989,-0.0083,55.5,54.48,0.99991,1.91
3.502,stand,1.0989,-0.0083,55.5,54.48,0.99990,1.91
3.552,stand,1.0989,-0.0083,55.5,54.48,0.99990,1.91
3.602,stand,1.0989,-0.0083,55.5,54.48,0.99990,1.91
